# time, signal
7.839999999999999747e-02,-1.200007000000000046e+00
7.860000000000000320e-02,-8.800071000000000421e-01
7.880000000000000893e-02,-1.040006999999999904e+00
7.900000000000000078e-02,-8.000072000000000294e-01
7.920000000000000651e-02,-9.600071000000000021e-01
7.939999999999999836e-02,-6.400071999999999983e-01
7.960000000000000409e-02,-8.000072000000000294e-01
7.980000000000000981e-02,-5.600072000000000383e-01
8.000000000000000167e-02,-6.400071999999999983e-01
8.020000000000000739e-02,-4.000072000000000072e-01
8.039999999999999925e-02,-4.800072000000000227e-01
8.060000000000000497e-02,-3.200072999999999945e-01
8.080000000000001070e-02,-4.000072000000000072e-01
8.100000000000000255e-02,-8.000727000000000533e-02
8.120000000000000828e-02,-1.600072999999999912e-01
8.140000000000000013e-02,7.999272999999999800e-02
8.160000000000000586e-02,-7.271767000000000134e-06
8.179999999999999771e-02,1.599926999999999877e-01
8.200000000000000344e-02,7.999272999999999800e-02
8.220000000000000917e-02,3.999926999999999788e-01
8.240000000000000102e-02,3.199927000000000188e-01
8.260000000000000675e-02,5.599927000000000099e-01
8.279999999999999860e-02,4.799926999999999944e-01
8.300000000000000433e-02,7.199925999999999826e-01
8.320000000000001006e-02,7.199925999999999826e-01
8.340000000000000191e-02,9.599925999999999737e-01
8.360000000000000764e-02,8.799926000000000137e-01
8.379999999999999949e-02,1.199993000000000087e+00
8.400000000000000522e-02,1.119993000000000016e+00
8.420000000000001095e-02,1.359993000000000007e+00
8.440000000000000280e-02,1.279992999999999936e+00
8.460000000000000853e-02,1.439993000000000078e+00
8.480000000000000038e-02,1.359993000000000007e+00
8.500000000000000611e-02,1.599992999999999999e+00
8.519999999999999796e-02,1.519992999999999927e+00
8.540000000000000369e-02,1.679993000000000070e+00
8.560000000000000941e-02,1.679993000000000070e+00
8.580000000000000127e-02,1.599992999999999999e+00
8.600000000000000699e-02,1.599992999999999999e+00
8.619999999999999885e-02,1.839992999999999990e+00
8.640000000000000457e-02,1.759992999999999919e+00
8.660000000000001030e-02,1.599992999999999999e+00
8.680000000000000215e-02,1.679993000000000070e+00
8.700000000000000788e-02,1.599992999999999999e+00
8.719999999999999973e-02,1.679993000000000070e+00
8.740000000000000546e-02,1.519992999999999927e+00
8.759999999999999731e-02,1.599992999999999999e+00
8.780000000000000304e-02,1.359993000000000007e+00
8.800000000000000877e-02,1.519992999999999927e+00
8.820000000000000062e-02,1.279992999999999936e+00
8.840000000000000635e-02,1.279992999999999936e+00
8.859999999999999820e-02,1.439993000000000078e+00
8.880000000000000393e-02,1.359993000000000007e+00
8.900000000000000966e-02,1.119993000000000016e+00
8.920000000000000151e-02,1.199993000000000087e+00
8.940000000000000724e-02,9.599925999999999737e-01
8.959999999999999909e-02,1.039992999999999945e+00
8.980000000000000482e-02,7.999926000000000537e-01
9.000000000000001055e-02,8.799926000000000137e-01
9.020000000000000240e-02,6.399926999999999699e-01
9.040000000000000813e-02,7.199925999999999826e-01
9.059999999999999998e-02,4.799926999999999944e-01
9.080000000000000571e-02,5.599927000000000099e-01
9.099999999999999756e-02,3.199927000000000188e-01
9.120000000000000329e-02,3.999926999999999788e-01
9.140000000000000902e-02,7.999272999999999800e-02
9.160000000000000087e-02,1.599926999999999877e-01
9.180000000000000659e-02,-8.000727000000000533e-02
9.199999999999999845e-02,7.999272999999999800e-02
9.220000000000000417e-02,-2.400073000000000067e-01
9.240000000000000990e-02,-1.600072999999999912e-01
9.260000000000000175e-02,-4.800072000000000227e-01
9.280000000000000748e-02,-4.000072000000000072e-01
9.299999999999999933e-02,-6.400071999999999983e-01
9.320000000000000506e-02,-5.600072000000000383e-01
9.340000000000001079e-02,-7.200071999999999584e-01
9.360000000000000264e-02,-6.400071999999999983e-01
9.380000000000000837e-02,-9.600071000000000021e-01
9.400000000000000022e-02,-8.000072000000000294e-01
9.420000000000000595e-02,-1.040006999999999904e+00
9.439999999999999780e-02,-9.600071000000000021e-01
9.460000000000000353e-02,-1.200007000000000046e+00
9.480000000000000926e-02,-1.120006999999999975e+00
9.500000000000000111e-02,-1.280006999999999895e+00
9.520000000000000684e-02,-1.200007000000000046e+00
9.539999999999999869e-02,-1.440007000000000037e+00
9.560000000000000442e-02,-1.360006999999999966e+00
9.580000000000001015e-02,-1.520007000000000108e+00
9.600000000000000200e-02,-1.440007000000000037e+00
9.620000000000000773e-02,-1.520007000000000108e+00
9.639999999999999958e-02,-1.440007000000000037e+00
9.660000000000000531e-02,-1.680007000000000028e+00
9.680000000000001104e-02,-1.440007000000000037e+00
9.700000000000000289e-02,-1.680007000000000028e+00
9.720000000000000862e-02,-1.440007000000000037e+00
9.740000000000000047e-02,-1.680007000000000028e+00
9.760000000000000620e-02,-1.680007000000000028e+00
9.779999999999999805e-02,-1.440007000000000037e+00
9.800000000000000377e-02,-1.520007000000000108e+00
9.820000000000000950e-02,-1.360006999999999966e+00
9.840000000000000135e-02,-1.440007000000000037e+00
9.860000000000000708e-02,-1.280006999999999895e+00
9.879999999999999893e-02,-1.440007000000000037e+00
9.900000000000000466e-02,-1.120006999999999975e+00
9.920000000000001039e-02,-1.200007000000000046e+00
9.940000000000000224e-02,-9.600071000000000021e-01
9.960000000000000797e-02,-1.040006999999999904e+00
9.979999999999999982e-02,-8.800071000000000421e-01
1.000000000000000056e-01,-9.600071000000000021e-01
1.002000000000000113e-01,-8.000072000000000294e-01
1.004000000000000031e-01,-8.000072000000000294e-01
1.006000000000000089e-01,-6.400071999999999983e-01
1.008000000000000007e-01,-7.200071999999999584e-01
1.010000000000000064e-01,-5.600072000000000383e-01
1.011999999999999983e-01,-6.400071999999999983e-01
1.014000000000000040e-01,-3.200072999999999945e-01
1.016000000000000097e-01,-4.000072000000000072e-01
1.018000000000000016e-01,-1.600072999999999912e-01
1.020000000000000073e-01,-2.400073000000000067e-01
1.021999999999999992e-01,7.999272999999999800e-02
1.024000000000000049e-01,-7.271767000000000134e-06
1.026000000000000106e-01,1.599926999999999877e-01
1.028000000000000025e-01,7.999272999999999800e-02
1.030000000000000082e-01,3.199927000000000188e-01
1.032000000000000001e-01,2.399927000000000032e-01
1.034000000000000058e-01,5.599927000000000099e-01
1.036000000000000115e-01,4.799926999999999944e-01
1.038000000000000034e-01,6.399926999999999699e-01
1.040000000000000091e-01,5.599927000000000099e-01
