# Data format: "%int(ChipTimeUS),%float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ),%float(RawAccelX),%float(RawAccelY),%float(RawAccelZ)"
832856974,-0.02147,1.00484,0.00216,-0.07715,1.01367,-0.00098
832861815,-0.02271,0.99608,0.00412,-0.07813,1.00488,0.00098
832866654,-0.02461,0.99904,0.00419,-0.08008,1.00781,0.00098
832871292,-0.01444,1.00674,0.00684,-0.07031,1.01563,0.00391
832876132,-0.02237,1.00691,0.01101,-0.07813,1.01563,0.00781
832880973,-0.02543,1.00493,0.00424,-0.08105,1.01367,0.00098
832885809,-0.02247,1.00393,0.00708,-0.07813,1.01270,0.00391
832890648,-0.02547,1.00393,0.00228,-0.08105,1.01270,-0.00098
832895493,-0.02545,1.00397,0.00620,-0.08105,1.01270,0.00293
832900328,-0.02750,1.00204,0.00527,-0.08301,1.01074,0.00195
832905174,-0.01946,1.00487,0.00797,-0.07520,1.01367,0.00488
832910021,-0.01560,1.00180,0.00098,-0.07129,1.01074,-0.00195
832914659,-0.02537,1.00689,0.00523,-0.08105,1.01563,0.00195
832919490,-0.01842,1.00679,0.00599,-0.07422,1.01563,0.00293
832924336,-0.02160,0.99998,0.00508,-0.07715,1.00879,0.00195
832929176,-0.02080,0.99312,0.00502,-0.07617,1.00195,0.00195
832934004,-0.02254,1.00194,0.00414,-0.07813,1.01074,0.00098
832938842,-0.01759,1.00092,0.00691,-0.07324,1.00977,0.00391
832943682,-0.02270,0.99609,0.00510,-0.07813,1.00488,0.00195
832948525,-0.02267,0.99706,0.00510,-0.07813,1.00586,0.00195
832953152,-0.02438,1.00780,0.00030,-0.08008,1.01660,-0.00293
832957994,-0.02553,1.00105,0.00717,-0.08105,1.00977,0.00391
832962832,-0.02344,1.00492,0.00614,-0.07910,1.01367,0.00293
832967669,-0.02263,0.99900,0.00315,-0.07813,1.00781,0.00000
832972509,-0.02033,1.00974,0.00410,-0.07617,1.01855,0.00098
832977346,-0.02470,0.99609,0.00222,-0.08008,1.00488,-0.00098
832982185,-0.02061,0.99996,0.00407,-0.07617,1.00879,0.00098
832987025,-0.02541,1.00498,0.00914,-0.08105,1.01367,0.00586
832991862,-0.02567,0.99616,0.00715,-0.08105,1.00488,0.00391
832996491,-0.02173,0.99510,0.00604,-0.07715,1.00391,0.00293
833001371,-0.02550,1.00204,0.00815,-0.08105,1.01074,0.00488
833006220,-0.02032,1.00977,0.00704,-0.07617,1.01855,0.00391
833011063,-0.02436,1.00785,0.00422,-0.08008,1.01660,0.00098
833015903,-0.01654,1.00378,0.00199,-0.07227,1.01270,-0.00098
833020739,-0.01956,1.00189,0.00404,-0.07520,1.01074,0.00098
833025581,-0.02355,1.00192,0.00025,-0.07910,1.01074,-0.00293
833030416,-0.02363,0.99899,0.00122,-0.07910,1.00781,-0.00195
833035052,-0.02549,1.00296,0.00325,-0.08105,1.01172,0.00000
833039881,-0.02343,1.00584,0.00124,-0.07910,1.01465,-0.00195
833044719,-0.02286,0.99115,0.00116,-0.07813,1.00000,-0.00195
833049555,-0.02445,1.00490,0.00323,-0.08008,1.01367,0.00000
833054393,-0.02257,1.00004,0.00903,-0.07813,1.00879,0.00586
833059237,-0.02244,1.00492,0.00806,-0.07813,1.01367,0.00488
833064079,-0.02145,1.00488,0.00607,-0.07715,1.01367,0.00293
833068922,-0.02070,0.99610,0.00895,-0.07617,1.00488,0.00586
833073548,-0.01965,0.99804,0.00893,-0.07520,1.00684,0.00586
833078387,-0.01883,0.99305,0.00202,-0.07422,1.00195,-0.00098
833083224,-0.02721,1.01183,0.00629,-0.08301,1.02051,0.00293
833088060,-0.02271,0.99608,0.00412,-0.07813,1.00488,0.00098
833092907,-0.02348,1.00392,0.00417,-0.07910,1.01270,0.00098
833097753,-0.02223,1.01271,0.00515,-0.07813,1.02148,0.00195
833102597,-0.02345,1.00488,0.00320,-0.07910,1.01367,0.00000
833107423,-0.02470,0.99610,0.00320,-0.08008,1.00488,0.00000
833112255,-0.02259,0.99999,0.00413,-0.07813,1.00879,0.00098
833116883,-0.02462,0.99811,0.00811,-0.08008,1.00684,0.00488
833121716,-0.02150,1.00387,0.00313,-0.07715,1.01270,0.00000
833126553,-0.01742,1.00679,0.00693,-0.07324,1.01563,0.00391
833131394,-0.02059,1.00092,0.00309,-0.07617,1.00977,0.00000
833136231,-0.02062,0.99993,0.00211,-0.07617,1.00879,-0.00098
833141067,-0.02355,1.00100,0.00612,-0.07910,1.00977,0.00293
833145912,-0.02247,1.00485,0.00121,-0.07813,1.01367,-0.00195
833150750,-0.02235,1.00878,0.00318,-0.07813,1.01758,0.00000
833155378,-0.02630,1.00981,0.00233,-0.08203,1.01855,-0.00098
833160218,-0.02657,1.00004,0.00328,-0.08203,1.00879,0.00000
833165049,-0.02135,1.00879,0.00511,-0.07715,1.01758,0.00195
833169888,-0.02425,1.01174,0.00227,-0.08008,1.02051,-0.00098
833174734,-0.02430,1.00981,0.00521,-0.08008,1.01855,0.00195
833179582,-0.02560,0.99906,0.00422,-0.08105,1.00781,0.00098
833184420,-0.02541,1.00588,0.00229,-0.08105,1.01465,-0.00098
