# time,Voltage_channel_1,Voltage_channel_2
1.047999999999999961e-05,-2.000024999999999947e-04,5.999817999999999818e-02
1.056000000000000054e-05,-8.000249000000000455e-05,5.999817999999999818e-02
1.063999999999999977e-05,6.399975999999999929e-04,7.999818000000000207e-02
1.072000000000000070e-05,6.399975999999999929e-04,7.999818000000000207e-02
1.079999999999999993e-05,-4.000249000000000128e-05,5.999817999999999818e-02
1.088000000000000086e-05,-8.000249000000000455e-05,7.999818000000000207e-02
1.096000000000000010e-05,7.599975999999999824e-04,5.999817999999999818e-02
1.104000000000000103e-05,7.599975999999999824e-04,7.999818000000000207e-02
1.112000000000000026e-05,-8.000249000000000455e-05,5.999817999999999818e-02
1.119999999999999949e-05,7.599975999999999824e-04,7.999818000000000207e-02
1.128000000000000042e-05,-1.600024999999999982e-04,5.999817999999999818e-02
1.135999999999999966e-05,-2.488377999999999821e-09,7.999818000000000207e-02
1.144000000000000058e-05,8.399977000000000095e-04,3.999818000000000123e-02
1.151999999999999982e-05,9.999977000000001039e-04,7.999818000000000207e-02
1.160000000000000075e-05,1.599975000000000008e-04,5.999817999999999818e-02
1.167999999999999998e-05,2.799974999999999903e-04,7.999818000000000207e-02
1.176000000000000091e-05,9.999977000000001039e-04,3.999818000000000123e-02
1.184000000000000014e-05,1.119998000000000087e-03,7.999818000000000207e-02
1.192000000000000107e-05,2.799974999999999903e-04,3.999818000000000123e-02
1.200000000000000030e-05,9.999977000000001039e-04,5.999817999999999818e-02
1.207999999999999954e-05,1.999974999999999973e-04,7.999818000000000207e-02
1.216000000000000047e-05,2.799974999999999903e-04,7.999818000000000207e-02
1.223999999999999970e-05,9.199977000000000025e-04,5.999817999999999818e-02
1.232000000000000063e-05,9.199977000000000025e-04,7.999818000000000207e-02
1.239999999999999986e-05,2.799974999999999903e-04,5.999817999999999818e-02
1.248000000000000079e-05,7.999977000000000130e-04,7.999818000000000207e-02
1.256000000000000002e-05,1.199975000000000043e-04,5.999817999999999818e-02
1.264000000000000095e-05,7.599975999999999824e-04,7.999818000000000207e-02
1.272000000000000019e-05,-2.488377999999999821e-09,5.999817999999999818e-02
1.279999999999999942e-05,6.399975999999999929e-04,7.999818000000000207e-02
1.288000000000000035e-05,-8.000249000000000455e-05,5.999817999999999818e-02
1.295999999999999958e-05,-2.488377999999999821e-09,7.999818000000000207e-02
1.304000000000000051e-05,5.999975999999999964e-04,5.999817999999999818e-02
1.311999999999999975e-05,-4.000249000000000128e-05,7.999818000000000207e-02
1.320000000000000067e-05,5.999975999999999964e-04,5.999817999999999818e-02
1.327999999999999991e-05,-2.800025000000000148e-04,5.999817999999999818e-02
1.336000000000000084e-05,5.999975999999999964e-04,7.999818000000000207e-02
1.344000000000000007e-05,-8.000249000000000455e-05,7.999818000000000207e-02
1.352000000000000100e-05,6.399975999999999929e-04,5.999817999999999818e-02
1.360000000000000023e-05,4.799975000000000270e-04,7.999818000000000207e-02
1.367999999999999947e-05,-4.400025000000000008e-04,5.999817999999999818e-02
1.376000000000000039e-05,3.599974999999999833e-04,7.999818000000000207e-02
1.383999999999999963e-05,-3.600025000000000078e-04,5.999817999999999818e-02
1.392000000000000056e-05,-3.200025000000000113e-04,7.999818000000000207e-02
1.399999999999999979e-05,4.799975000000000270e-04,5.999817999999999818e-02
1.408000000000000072e-05,4.799975000000000270e-04,5.999817999999999818e-02
1.415999999999999995e-05,-4.400025000000000008e-04,7.999818000000000207e-02
1.424000000000000088e-05,3.599974999999999833e-04,7.999818000000000207e-02
1.432000000000000011e-05,-3.600025000000000078e-04,5.999817999999999818e-02
1.440000000000000104e-05,3.599974999999999833e-04,7.999818000000000207e-02
1.448000000000000028e-05,-3.600025000000000078e-04,5.999817999999999818e-02
1.455999999999999951e-05,-3.600025000000000078e-04,7.999818000000000207e-02
1.464000000000000044e-05,4.399974999999999763e-04,5.999817999999999818e-02
1.471999999999999967e-05,4.399974999999999763e-04,7.999818000000000207e-02
1.480000000000000060e-05,-4.400025000000000008e-04,5.999817999999999818e-02
1.487999999999999983e-05,4.399974999999999763e-04,5.999817999999999818e-02
1.496000000000000076e-05,-6.400025999999999632e-04,7.999818000000000207e-02
1.504000000000000000e-05,-3.200025000000000113e-04,5.999817999999999818e-02
1.512000000000000093e-05,4.799975000000000270e-04,7.999818000000000207e-02
1.520000000000000016e-05,-3.200025000000000113e-04,7.999818000000000207e-02
1.527999999999999939e-05,3.199974999999999868e-04,5.999817999999999818e-02
1.536000000000000202e-05,2.799974999999999903e-04,5.999817999999999818e-02
1.544000000000000125e-05,-5.200025999999999737e-04,1.199981999999999993e-01
1.552000000000000048e-05,-6.400025999999999632e-04,5.999817999999999818e-02
1.559999999999999972e-05,1.199975000000000043e-04,9.999818000000000595e-02
1.567999999999999895e-05,-6.800025999999999597e-04,5.999817999999999818e-02
1.576000000000000157e-05,-2.488377999999999821e-09,9.999818000000000595e-02
1.584000000000000081e-05,1.199975000000000043e-04,7.999818000000000207e-02
1.592000000000000004e-05,-8.000026999999999833e-04,5.999817999999999818e-02
1.599999999999999928e-05,3.999750999999999849e-05,5.999817999999999818e-02
1.608000000000000190e-05,-6.000025999999999667e-04,1.199981999999999993e-01
1.616000000000000113e-05,-5.200025999999999737e-04,5.999817999999999818e-02
1.624000000000000037e-05,1.199975000000000043e-04,1.199981999999999993e-01
1.631999999999999960e-05,-5.200025999999999737e-04,7.999818000000000207e-02
1.639999999999999883e-05,1.599975000000000008e-04,5.999817999999999818e-02
1.648000000000000146e-05,2.799974999999999903e-04,5.999817999999999818e-02
1.656000000000000069e-05,-6.400025999999999632e-04,9.999818000000000595e-02
1.663999999999999992e-05,-5.200025999999999737e-04,5.999817999999999818e-02
1.671999999999999916e-05,3.599974999999999833e-04,1.199981999999999993e-01
1.680000000000000178e-05,-4.800024999999999973e-04,7.999818000000000207e-02
1.688000000000000101e-05,3.599974999999999833e-04,5.999817999999999818e-02
1.696000000000000025e-05,-3.600025000000000078e-04,5.999817999999999818e-02
1.703999999999999948e-05,3.599974999999999833e-04,9.999818000000000595e-02
1.711999999999999872e-05,-2.000024999999999947e-04,5.999817999999999818e-02
1.720000000000000134e-05,4.799975000000000270e-04,9.999818000000000595e-02
1.728000000000000057e-05,3.599974999999999833e-04,7.999818000000000207e-02
1.735999999999999981e-05,-2.800025000000000148e-04,5.999817999999999818e-02
1.743999999999999904e-05,4.799975000000000270e-04,7.999818000000000207e-02
1.752000000000000166e-05,-1.600024999999999982e-04,5.999817999999999818e-02
1.760000000000000090e-05,-3.200025000000000113e-04,7.999818000000000207e-02
1.768000000000000013e-05,5.999975999999999964e-04,5.999817999999999818e-02
1.775999999999999937e-05,7.599975999999999824e-04,7.999818000000000207e-02
1.784000000000000199e-05,-3.200025000000000113e-04,5.999817999999999818e-02
1.792000000000000122e-05,6.399975999999999929e-04,7.999818000000000207e-02
1.800000000000000046e-05,-1.600024999999999982e-04,5.999817999999999818e-02
1.807999999999999969e-05,-1.600024999999999982e-04,7.999818000000000207e-02
1.815999999999999892e-05,6.399975999999999929e-04,5.999817999999999818e-02
1.824000000000000155e-05,-3.200025000000000113e-04,7.999818000000000207e-02
1.832000000000000078e-05,7.199975999999999859e-04,5.999817999999999818e-02
1.840000000000000001e-05,5.999975999999999964e-04,7.999818000000000207e-02
1.847999999999999925e-05,-2.800025000000000148e-04,5.999817999999999818e-02
1.856000000000000187e-05,6.399975999999999929e-04,7.999818000000000207e-02
1.864000000000000110e-05,-1.600024999999999982e-04,5.999817999999999818e-02
1.872000000000000034e-05,6.399975999999999929e-04,5.999817999999999818e-02
1.879999999999999957e-05,-1.600024999999999982e-04,7.999818000000000207e-02
1.887999999999999881e-05,6.399975999999999929e-04,7.999818000000000207e-02
1.896000000000000143e-05,-2.000024999999999947e-04,5.999817999999999818e-02
1.904000000000000066e-05,-2.488377999999999821e-09,5.999817999999999818e-02
