# time,Voltage_channel_1,Voltage_channel_2,Voltage_channel_3
1.031999999999999945e-05,-4.000249000000000128e-05,1.999818000000000082e-02,3.200012000000000017e-04
1.036000000000000076e-05,-7.200025999999999562e-04,-1.817942000000000093e-06,-6.799988999999999990e-04
1.040000000000000038e-05,-8.000026999999999833e-04,-1.817942000000000093e-06,-6.799988999999999990e-04
1.043999999999999999e-05,1.599975000000000008e-04,1.999818000000000082e-02,2.000012000000000122e-04
1.047999999999999961e-05,-6.000025999999999667e-04,1.999818000000000082e-02,3.200012000000000017e-04
1.052000000000000092e-05,1.199975000000000043e-04,-2.000182000000000002e-02,-6.399989000000000025e-04
1.056000000000000054e-05,-6.400025999999999632e-04,1.999818000000000082e-02,-6.399989000000000025e-04
1.060000000000000016e-05,1.999974999999999973e-04,-2.000182000000000002e-02,3.200012000000000017e-04
1.063999999999999977e-05,1.199975000000000043e-04,1.999818000000000082e-02,3.200012000000000017e-04
1.067999999999999939e-05,-6.400025999999999632e-04,-1.817942000000000093e-06,-8.399988999999999850e-04
1.072000000000000070e-05,-2.488377999999999821e-09,1.999818000000000082e-02,-6.799988999999999990e-04
1.076000000000000032e-05,-8.800026999999999763e-04,-1.817942000000000093e-06,2.000012000000000122e-04
1.079999999999999993e-05,1.999974999999999973e-04,1.999818000000000082e-02,1.600011999999999886e-04
1.083999999999999955e-05,-6.400025999999999632e-04,-1.817942000000000093e-06,-9.599990000000000086e-04
1.088000000000000086e-05,-6.000025999999999667e-04,1.999818000000000082e-02,1.600011999999999886e-04
1.092000000000000048e-05,1.199975000000000043e-04,-2.000182000000000002e-02,-6.799988999999999990e-04
1.096000000000000010e-05,-6.400025999999999632e-04,1.999818000000000082e-02,2.000012000000000122e-04
1.099999999999999971e-05,1.199975000000000043e-04,-1.817942000000000093e-06,-9.199990000000000121e-04
1.104000000000000103e-05,-5.200025999999999737e-04,1.999818000000000082e-02,-2.399988000000000034e-04
1.108000000000000064e-05,2.799974999999999903e-04,-2.000182000000000002e-02,-1.319999000000000085e-03
1.112000000000000026e-05,1.999974999999999973e-04,1.999818000000000082e-02,-5.999989000000000060e-04
1.115999999999999988e-05,-5.200025999999999737e-04,-2.000182000000000002e-02,-1.759998000000000031e-03
1.119999999999999949e-05,-6.400025999999999632e-04,1.999818000000000082e-02,-1.479997999999999947e-03
1.124000000000000080e-05,3.599974999999999833e-04,-2.000182000000000002e-02,-4.799987999999999824e-04
1.128000000000000042e-05,-5.200025999999999737e-04,1.999818000000000082e-02,-5.999989000000000060e-04
1.132000000000000004e-05,3.599974999999999833e-04,-2.000182000000000002e-02,-1.519998000000000052e-03
1.135999999999999966e-05,3.599974999999999833e-04,-2.000182000000000002e-02,-6.399989000000000025e-04
1.140000000000000097e-05,-4.400025000000000008e-04,1.999818000000000082e-02,-1.479997999999999947e-03
1.144000000000000058e-05,-3.600025000000000078e-04,-2.000182000000000002e-02,-1.839998000000000024e-03
1.148000000000000020e-05,3.599974999999999833e-04,1.999818000000000082e-02,-5.199987999999999789e-04
1.151999999999999982e-05,-4.800024999999999973e-04,-2.000182000000000002e-02,-1.519998000000000052e-03
1.155999999999999943e-05,4.799975000000000270e-04,1.999818000000000082e-02,-5.199987999999999789e-04
1.160000000000000075e-05,4.799975000000000270e-04,1.999818000000000082e-02,-1.479997999999999947e-03
1.164000000000000036e-05,-3.600025000000000078e-04,-2.000182000000000002e-02,-4.399987999999999859e-04
1.167999999999999998e-05,4.799975000000000270e-04,-2.000182000000000002e-02,-1.599988000000000105e-04
1.171999999999999960e-05,-3.600025000000000078e-04,1.999818000000000082e-02,-1.359998999999999974e-03
1.176000000000000091e-05,4.799975000000000270e-04,-2.000182000000000002e-02,-4.799987999999999824e-04
1.180000000000000052e-05,-2.800025000000000148e-04,1.999818000000000082e-02,-1.319999000000000085e-03
1.184000000000000014e-05,5.599975999999999999e-04,-2.000182000000000002e-02,-1.679998000000000038e-03
1.187999999999999976e-05,-3.600025000000000078e-04,1.999818000000000082e-02,-4.399987999999999859e-04
1.192000000000000107e-05,-2.800025000000000148e-04,-2.000182000000000002e-02,-5.199987999999999789e-04
1.196000000000000069e-05,5.999975999999999964e-04,1.999818000000000082e-02,-1.479997999999999947e-03
1.200000000000000030e-05,-2.800025000000000148e-04,-2.000182000000000002e-02,-4.399987999999999859e-04
1.203999999999999992e-05,4.399974999999999763e-04,1.999818000000000082e-02,-1.319999000000000085e-03
1.207999999999999954e-05,-3.200025000000000113e-04,-2.000182000000000002e-02,-4.399987999999999859e-04
1.212000000000000085e-05,4.799975000000000270e-04,1.999818000000000082e-02,-1.319999000000000085e-03
1.216000000000000047e-05,4.799975000000000270e-04,1.999818000000000082e-02,-1.319999000000000085e-03
1.220000000000000008e-05,-2.000024999999999947e-04,-2.000182000000000002e-02,-1.599988000000000105e-04
1.223999999999999970e-05,-2.800025000000000148e-04,1.999818000000000082e-02,-9.599990000000000086e-04
1.228000000000000101e-05,5.999975999999999964e-04,-2.000182000000000002e-02,1.600011999999999886e-04
1.232000000000000063e-05,-1.600024999999999982e-04,-2.000182000000000002e-02,1.600011999999999886e-04
1.236000000000000025e-05,5.599975999999999999e-04,1.999818000000000082e-02,-9.199990000000000121e-04
1.239999999999999986e-05,-8.000249000000000455e-05,1.999818000000000082e-02,-8.399988999999999850e-04
1.243999999999999948e-05,6.399975999999999929e-04,-2.000182000000000002e-02,1.600011999999999886e-04
1.248000000000000079e-05,-8.000249000000000455e-05,1.999818000000000082e-02,-9.199990000000000121e-04
1.252000000000000041e-05,6.399975999999999929e-04,-2.000182000000000002e-02,4.000124000000000193e-05
1.256000000000000002e-05,8.399977000000000095e-04,-2.000182000000000002e-02,-7.199988999999999955e-04
1.259999999999999964e-05,-2.000024999999999947e-04,1.999818000000000082e-02,2.000012000000000122e-04
