# Frequency, Frequency_g, g, Frequency_V, RMS_V, Phase_V
5.100000000000000000e+01,5.050504999999999711e+01,2.758415000000000172e-01,5.050504999999999711e+01,5.806265000000000454e-01,-1.445455000000000041e+02
5.150000000000000000e+01,5.102040999999999826e+01,2.716390000000000193e-01,5.102040999999999826e+01,5.546640000000000459e-01,-1.441836999999999875e+02
5.200000000000000000e+01,5.128204999999999814e+01,2.737735000000000030e-01,5.154639000000000237e+01,5.384358000000000199e-01,-1.430768999999999949e+02
5.250000000000000000e+01,5.181347000000000236e+01,2.550349000000000088e-01,5.208332999999999657e+01,4.794387999999999983e-01,-1.370983999999999980e+02
5.300000000000000000e+01,5.235602000000000089e+01,2.724726000000000092e-01,5.235602000000000089e+01,4.922884000000000149e-01,-1.411579000000000121e+02
5.350000000000000000e+01,5.319149000000000171e+01,2.763381999999999783e-01,5.291004999999999825e+01,4.850604000000000027e-01,-1.369148999999999887e+02
5.400000000000000000e+01,5.319149000000000171e+01,2.513814999999999800e-01,5.347594000000000136e+01,4.310146000000000255e-01,-1.311701999999999941e+02
5.450000000000000000e+01,5.405404999999999660e+01,2.716591999999999896e-01,5.405404999999999660e+01,4.510952999999999768e-01,-1.391350999999999942e+02
5.500000000000000000e+01,5.464480999999999966e+01,2.803268999999999900e-01,5.434781999999999869e+01,4.489922000000000080e-01,-1.340217000000000098e+02
5.550000000000000000e+01,5.494505000000000194e+01,2.493074000000000123e-01,5.494505000000000194e+01,3.908287999999999762e-01,-1.295603999999999871e+02
5.600000000000000000e+01,5.555555999999999983e+01,2.761050999999999922e-01,5.555555999999999983e+01,4.159853000000000023e-01,-1.290000000000000000e+02
5.650000000000000000e+01,5.586592000000000269e+01,2.526520999999999906e-01,5.617978000000000094e+01,3.673687999999999954e-01,-1.236872000000000043e+02
5.700000000000000000e+01,5.649718000000000018e+01,2.771940999999999988e-01,5.617978000000000094e+01,3.935525000000000273e-01,-1.311863999999999919e+02
5.750000000000000000e+01,5.681817999999999813e+01,2.784596999999999767e-01,5.714285999999999888e+01,3.832949999999999968e-01,-1.298864000000000090e+02
5.800000000000000000e+01,5.747126000000000090e+01,2.525734000000000035e-01,5.780346999999999724e+01,3.362481999999999971e-01,-1.272413999999999987e+02
5.850000000000000000e+01,5.813953000000000060e+01,2.717616999999999949e-01,5.813953000000000060e+01,3.512937999999999894e-01,-1.308138999999999896e+02
5.900000000000000000e+01,5.847952999999999690e+01,2.800406999999999758e-01,5.847952999999999690e+01,3.486462000000000172e-01,-1.294737000000000080e+02
5.950000000000000000e+01,5.917159999999999798e+01,2.522879000000000094e-01,5.917159999999999798e+01,3.057158999999999849e-01,-1.228234999999999957e+02
6.000000000000000000e+01,5.917159999999999798e+01,2.741372000000000253e-01,5.952380999999999744e+01,3.262701000000000073e-01,-1.246153999999999940e+02
6.050000000000000000e+01,5.988024000000000058e+01,2.572474000000000149e-01,5.988024000000000058e+01,2.969633999999999885e-01,-1.261077999999999975e+02
6.100000000000000000e+01,6.060605999999999938e+01,2.605839999999999823e-01,6.060605999999999938e+01,2.941611000000000087e-01,-1.232727000000000004e+02
6.150000000000000000e+01,6.097561000000000320e+01,2.833149999999999835e-01,6.097561000000000320e+01,3.134322999999999970e-01,-1.269938999999999965e+02
6.200000000000000000e+01,6.172838999999999743e+01,2.808709999999999818e-01,6.134969000000000250e+01,3.033542000000000183e-01,-1.300000000000000000e+02
6.250000000000000000e+01,6.211180000000000234e+01,2.815440000000000165e-01,6.211180000000000234e+01,2.971294999999999908e-01,-1.285714000000000112e+02
6.300000000000000000e+01,6.250000000000000000e+01,2.819077999999999862e-01,4.201680999999999955e+01,2.926638999999999768e-01,-1.293750000000000000e+02
6.350000000000000000e+01,6.289307999999999765e+01,2.827797000000000227e-01,4.201680999999999955e+01,2.887408000000000197e-01,-1.279244999999999948e+02
6.400000000000000000e+01,6.329113999999999862e+01,2.596183000000000241e-01,6.369427000000000305e+01,2.612396000000000162e-01,-1.218987999999999943e+02
6.450000000000000000e+01,6.410257000000000005e+01,2.790348999999999746e-01,6.410257000000000005e+01,2.771515999999999980e-01,-1.234615000000000009e+02
6.500000000000000000e+01,6.451613000000000397e+01,2.716237000000000235e-01,6.451613000000000397e+01,2.662591999999999737e-01,-1.265806999999999931e+02
6.550000000000000000e+01,6.451613000000000397e+01,2.804905999999999788e-01,6.535947000000000173e+01,2.676825999999999928e-01,-1.265806999999999931e+02
6.600000000000000000e+01,6.535947000000000173e+01,2.789094999999999769e-01,6.535947000000000173e+01,2.620263999999999927e-01,-1.258824000000000041e+02
6.650000000000000000e+01,6.622517000000000564e+01,2.793561999999999990e-01,6.622517000000000564e+01,2.584685999999999928e-01,-1.251655999999999977e+02
6.700000000000000000e+01,6.622517000000000564e+01,2.740890999999999744e-01,6.666666999999999632e+01,2.510140000000000149e-01,-1.251655999999999977e+02
6.750000000000000000e+01,6.711409999999999343e+01,2.578097999999999779e-01,6.711409999999999343e+01,2.324125999999999970e-01,-1.195973000000000042e+02
6.800000000000000000e+01,6.896551999999999794e+01,2.540632999999999919e-01,6.756757000000000346e+01,2.259879999999999944e-01,-1.228966000000000065e+02
6.850000000000000000e+01,6.756757000000000346e+01,2.721960999999999964e-01,6.802720999999999663e+01,2.410648999999999986e-01,-1.228378000000000014e+02
6.900000000000000000e+01,6.896551999999999794e+01,2.691956999999999822e-01,6.849314999999999998e+01,2.341043999999999903e-01,-1.278620999999999981e+02
6.950000000000000000e+01,6.896551999999999794e+01,2.714781000000000000e-01,6.896551999999999794e+01,2.327086999999999906e-01,-1.228966000000000065e+02
7.000000000000000000e+01,6.944444000000000017e+01,2.490061000000000080e-01,6.944444000000000017e+01,2.112683999999999951e-01,-1.212500000000000000e+02
7.050000000000000000e+01,6.993007000000000062e+01,2.704587999999999992e-01,6.993007000000000062e+01,2.278030000000000055e-01,-1.246153999999999940e+02
7.100000000000000000e+01,6.993007000000000062e+01,2.679886000000000212e-01,7.042252999999999474e+01,2.226419000000000037e-01,-1.229577000000000027e+02
7.150000000000000000e+01,7.042252999999999474e+01,2.665933999999999804e-01,7.092198000000000491e+01,2.179426999999999892e-01,-1.238298000000000059e+02
7.200000000000000000e+01,7.142856999999999346e+01,2.692684000000000188e-01,7.142856999999999346e+01,2.176745999999999959e-01,-1.247142999999999944e+02
7.250000000000000000e+01,7.194244999999999379e+01,2.678401999999999727e-01,7.194244999999999379e+01,2.135741999999999918e-01,-1.230216000000000065e+02
7.300000000000000000e+01,7.246376999999999668e+01,2.723389999999999977e-01,7.246376999999999668e+01,2.135635999999999923e-01,-1.239129999999999967e+02
7.350000000000000000e+01,7.299269999999999925e+01,2.710075000000000123e-01,7.299269999999999925e+01,2.100198000000000065e-01,-1.248174999999999955e+02
7.400000000000000000e+01,7.352940999999999860e+01,2.711706999999999868e-01,7.352940999999999860e+01,2.065464999999999940e-01,-1.257352999999999952e+02
7.450000000000000000e+01,7.407407000000000608e+01,2.754178999999999933e-01,7.407407000000000608e+01,2.064478999999999898e-01,-1.266667000000000058e+02
7.500000000000000000e+01,7.462686999999999671e+01,2.749184000000000072e-01,7.462686999999999671e+01,2.030539000000000094e-01,-1.249253999999999962e+02
7.550000000000000000e+01,7.518797000000000708e+01,2.739200999999999997e-01,7.518797000000000708e+01,1.998105000000000020e-01,-1.258646999999999991e+02
7.600000000000000000e+01,7.518797000000000708e+01,2.748468000000000022e-01,7.518797000000000708e+01,1.965196999999999916e-01,-1.231578999999999979e+02
7.650000000000000000e+01,7.633588000000000306e+01,2.737478999999999885e-01,7.575758000000000436e+01,1.934748000000000023e-01,-1.213636000000000053e+02
7.700000000000000000e+01,7.633588000000000306e+01,2.787927000000000044e-01,7.633588000000000306e+01,1.938574000000000130e-01,-1.222900999999999954e+02
7.750000000000000000e+01,7.751937999999999818e+01,2.778990000000000071e-01,7.692306999999999562e+01,1.908472999999999975e-01,-1.269766999999999939e+02
7.800000000000000000e+01,7.751937999999999818e+01,2.772066000000000252e-01,7.751937999999999818e+01,1.877827999999999997e-01,-1.241860000000000070e+02
7.850000000000000000e+01,7.751937999999999818e+01,2.591521999999999992e-01,7.751937999999999818e+01,1.713748999999999967e-01,-1.213953000000000060e+02
7.900000000000000000e+01,7.874016000000000304e+01,2.791771000000000114e-01,7.874016000000000304e+01,1.837033999999999889e-01,-1.289764000000000124e+02
7.950000000000000000e+01,7.874016000000000304e+01,2.612882999999999734e-01,7.874016000000000304e+01,1.690809000000000062e-01,-1.176377999999999986e+02
8.000000000000000000e+01,7.936508000000000607e+01,2.758188999999999780e-01,8.064516000000000417e+01,1.779150999999999927e-01,-1.242857000000000056e+02
8.050000000000000000e+01,8.000000000000000000e+01,2.797028999999999765e-01,8.000000000000000000e+01,1.784386000000000028e-01,-1.310399999999999920e+02
